,,Average MPCE(Rs.),Average MPCE(Rs.)
,State/UT,Rural,Urban
0,Andhra Pradesh,5327.0,7182.0
1,Arunachal Pradesh,5995.0,9832.0
2,Assam,3793.0,6794.0
3,Bihar,3670.0,5080.0
4,Chhattisgarh,2739.0,4927.0
5,Delhi,7400.0,8534.0
6,Goa,8048.0,9726.0
7,Gujarat,4116.0,7175.0
8,Haryana,5377.0,8428.0
9,Himachal Pradesh,5825.0,9223.0
10,Jharkhand,2946.0,5393.0
11,Karnataka,4903.0,8076.0
12,Kerala,6611.0,7783.0
13,Madhya Pradesh,3441.0,5538.0
14,Maharashtra,4145.0,7363.0
15,Manipur,4531.0,5945.0
16,Meghalaya,3852.0,7839.0
17,Mizoram,5963.0,8709.0
18,Nagaland,5155.0,8022.0
19,Odisha,3357.0,5825.0
20,Punjab,5817.0,7359.0
21,Rajasthan,4510.0,6574.0
22,Sikkim,9377.0,13927.0
23,Tamil Nadu,5701.0,8165.0
24,Telangana,5435.0,8978.0
25,Tripura,6259.0,8034.0
26,Uttar Pradesh,3481.0,5395.0
27,Uttarakhand,5003.0,7486.0
28,West Bengal,3620.0,5775.0
29,Andaman & N Islands,7771.0,10453.0
30,Chandigarh,8857.0,13425.0
31,Dadra & Nagar Haveli and Daman & Diu,4311.0,6837.0
32,Jammu & Kashmir,4774.0,6327.0
33,Ladakh,5010.0,7533.0
34,Lakshadweep,6350.0,6377.0
35,Puducherry,7598.0,8637.0
36,All-India,4122.0,6996.0
