,Rural,Rural,Rural,Urban,Urban,Urban,Rural + Urban,Rural + Urban,Rural + Urban
State/UT,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andhra Pradesh,59.7,40.7,50.1,59.3,24.5,41.3,59.5,35.8,47.5
Arunachal Pradesh,59.3,53.1,56.3,56,34.5,45.1,58.7,49.9,54.4
Assam,60.7,38.2,49.6,64.3,25.5,45,61.1,36.8,49.1
Bihar,48.1,21.1,34.9,48.2,12,30.9,48.1,20.3,34.5
Chhattisgarh,65.2,50.4,57.8,63.6,27.9,46.4,64.9,46.1,55.5
Delhi,54.7,13.8,37.8,54,14.5,35.9,54,14.5,36
Goa,58.1,21.8,40.5,54.9,23.7,39.5,56.3,22.9,39.9
Gujarat,62.8,44.3,53.8,62,23.6,43.7,62.5,35.8,49.6
Haryana,51.8,20.2,37.1,56.3,16.7,37.9,53.5,18.8,37.4
Himachal Pradesh,64.9,58.7,61.7,64.2,35.7,51.4,64.8,56.2,60.5
Jharkhand,53.1,40.4,46.8,52.1,15,34,52.9,35.8,44.4
Karnataka,60,34.6,47.3,59.8,23.6,42.1,59.9,30.5,45.4
Kerala,59.7,36.2,47.3,58.4,30.3,43.3,59.1,33.4,45.4
Madhya Pradesh,63.2,45.4,54.6,58.7,22.3,40.7,62,39.4,51
Maharashtra,61,38,49.6,61,23.7,43.1,61,32,46.8
Manipur,52.8,36.5,44.6,52.4,35.7,43.9,52.7,36.3,44.4
Meghalaya,54.8,48.7,51.7,53.1,37.8,45.1,54.6,47.1,50.7
Mizoram,51.1,30.5,41,49.2,30.2,39.6,50.2,30.4,40.4
Nagaland,57.3,45.2,51.1,52,35.8,44.1,55.7,42.7,49.1
Odisha,61.9,40.3,50.8,59.1,24.4,42,61.5,38,49.4
Punjab,62.4,27.7,45.2,62.6,19,41.4,62.5,24.4,43.7
Rajasthan,56.4,43,49.6,56.8,23.5,40.9,56.5,38,47.3
Sikkim,67.1,65.5,66.4,61.1,26.2,46,65.7,56.9,61.7
Tamil Nadu,60.4,44.5,52.3,59.2,24.4,41.3,59.8,35.2,47.2
Telangana,61.4,44,52.4,57.5,24.5,41.3,59.8,36.5,48
Tripura,64.8,39.1,51.9,57.3,25.9,41.3,63.5,36.8,50
Uttarakhand,56.6,41.8,49.3,55.6,18.6,37.2,56.4,35.9,46.2
Uttar Pradesh,54.7,28.1,41.5,56.9,13.5,36.2,55.2,25.2,40.4
West Bengal,63.6,33.7,48.6,64.3,26.8,45.4,63.8,31.7,47.7
Andaman & N. Island,67.5,44.6,56.5,67.9,30,49.3,67.7,38,53.3
Chandigarh,,,,60.1,25,43.5,60.1,25,43.5
Dadra & Nagar Haveli & Daman & Diu,62.1,54.3,58.3,69.9,18.5,47.9,66.7,34.7,52.3
Jammu & Kashmir,55.7,41.9,49,58.2,25.8,42.5,56.2,38.8,47.8
Ladakh,55.5,46.4,51.3,61,26.3,45,56.2,43.7,50.5
Lakshadweep,73.3,14.5,45.7,56.3,12.4,35.4,61.2,13,38.4
Puducherry,58.6,37.1,48,58.2,24.4,40.2,58.4,28.9,43.1
all India,57.9,35.5,46.8,59,22.3,41,58.2,31.7,45.1
